volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
207,193.9997,194.0,194.0,194.0,194.0,1706173200000,17,1,2024-01-25 03:00:00,193.9997
166,193.8999,193.9,193.9,193.9,193.9,1706173227000,3,2,2024-01-25 03:00:27,193.95528498659516
787,193.8809,193.86,193.86,193.86,193.86,1706173423000,26,3,2024-01-25 03:03:43,193.90481862068967
3068,193.8047,193.84,193.8,193.84,193.8,1706173466000,59,4,2024-01-25 03:04:26,193.83216868495745
194,193.69,193.69,193.69,193.69,193.69,1706173511000,3,5,2024-01-25 03:05:11,193.82593152419722
200,193.69,193.69,193.69,193.69,193.69,1706173532000,3,6,2024-01-25 03:05:32,193.82004958892256
100,193.69,193.69,193.69,193.69,193.69,1706173535000,1,7,2024-01-25 03:05:35,193.81729546802205
105,193.7,193.7,193.7,193.7,193.7,1706173601000,2,8,2024-01-25 03:06:41,193.81474398176923
609,193.7516,193.77,193.77,193.77,193.77,1706173644000,11,9,2024-01-25 03:07:24,193.80766990434145
425,193.7591,193.76,193.76,193.76,193.76,1706173671000,6,10,2024-01-25 03:07:51,193.80414794403686
518,193.7,193.7,193.7,193.7,193.7,1706173702000,16,11,2024-01-25 03:08:22,193.79569071954856
163,193.68,193.68,193.68,193.68,193.68,1706173763000,1,12,2024-01-25 03:09:23,193.79280817792727
220,193.665,193.68,193.68,193.68,193.68,1706173768000,4,13,2024-01-25 03:09:28,193.788649970423
163,193.68,193.68,193.68,193.68,193.68,1706173770000,1,14,2024-01-25 03:09:30,193.78609257761738
264,193.6788,193.7,193.7,193.7,193.7,1706173772000,7,15,2024-01-25 03:09:32,193.78215249687028
440,193.705,193.71,193.71,193.71,193.71,1706173983000,21,16,2024-01-25 03:13:03,193.7777027526544
530,193.69,193.7,193.7,193.7,193.7,1706174118000,13,17,2024-01-25 03:15:18,193.7720056747151
208,193.7686,193.77,193.77,193.77,193.77,1706174203000,4,18,2024-01-25 03:16:43,193.77192101111515
916,193.6324,193.63,193.63,193.63,193.63,1706174331000,27,19,2024-01-25 03:18:51,193.7581537757191
684,193.5692,193.57,193.57,193.57,193.57,1706174419000,12,20,2024-01-25 03:20:19,193.74518654560052
351,193.57,193.57,193.57,193.57,193.57,1706174478000,12,21,2024-01-25 03:21:18,193.7392270110487
182,193.57,193.57,193.57,193.57,193.57,1706174523000,4,22,2024-01-25 03:22:03,193.73629374285719
202,193.57,193.57,193.57,193.57,193.57,1706174534000,4,23,2024-01-25 03:22:14,193.7331549523454
102,193.5796,193.58,193.58,193.58,193.58,1706174605000,2,24,2024-01-25 03:23:25,193.7317052480563
200,193.5401,193.54,193.54,193.54,193.54,1706174635000,4,25,2024-01-25 03:23:55,193.72822278262453
199,193.55,193.55,193.55,193.55,193.55,1706174718000,5,26,2024-01-25 03:25:18,193.72505699366246
320,193.4184,193.42,193.42,193.42,193.42,1706174888000,6,27,2024-01-25 03:28:08,193.71654096155518
606,193.45,193.45,193.45,193.45,193.45,1706175049000,6,28,2024-01-25 03:30:49,193.70322380245696
170,193.47,193.47,193.47,193.47,193.47,1706175054000,4,29,2024-01-25 03:30:54,193.70000012196118
557,193.4878,193.49,193.49,193.49,193.49,1706175071000,4,30,2024-01-25 03:31:11,193.6908063238955
150,193.49,193.49,193.49,193.49,193.49,1706175084000,3,31,2024-01-25 03:31:24,193.68849039673998
651,193.495,193.49,193.5,193.5,193.49,1706175097000,17,32,2024-01-25 03:31:37,193.6792671230871
1821,193.5492,193.55,193.55,193.55,193.55,1706175100000,27,33,2024-01-25 03:31:40,193.66396461429127
311,193.6176,193.62,193.62,193.62,193.62,1706175127000,8,34,2024-01-25 03:32:07,193.6630513585408
376,193.55,193.55,193.55,193.55,193.55,1706175250000,7,35,2024-01-25 03:34:10,193.66042176925458
1550,193.5045,193.5,193.5,193.5,193.5,1706175286000,29,36,2024-01-25 03:34:46,193.64677916454986
