X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
,2024-03-27 16:14:52,2024-03-25,SNOW,Ramaswamy Sridhar,CEO,P - Purchase,$158.52,"+31,542","255,723",+14%,"+$5,000,038"
D,2024-03-20 20:04:16,2024-03-19,SNOW,Ho Emily,Chief Accounting Officer,S - Sale+OE,$157.42,"-1,968","30,425",-6%,"-$309,793"
,2024-03-19 19:45:30,2024-03-18,SNOW,Ho Emily,Chief Accounting Officer,S - Sale,$156.98,"-1,500","28,393",-5%,"-$235,470"
,2024-03-19 19:39:25,2024-03-18,SNOW,Slootman Frank,"CEO, COB",S - Sale,$156.66,"-19,764","1,099,903",-2%,"-$3,096,303"
,2024-03-19 19:38:01,2024-03-18,SNOW,Dageville Benoit,Pres of Products,S - Sale,$156.25,"-8,515","5,004,421",0%,"-$1,330,503"
,2024-03-19 19:35:48,2024-03-18,SNOW,Kleinerman Christian,"EVP, Product Management",S - Sale,$157.32,"-12,636","982,132",-1%,"-$1,987,939"
,2024-03-18 18:26:18,2024-03-14,SNOW,Kleinerman Christian,"EVP, Product Management",S - Sale,$161.94,"-1,500","1,006,166",0%,"-$242,910"
,2024-03-12 17:32:16,2024-03-11,SNOW,Czajkowski Grzegorz,"EVP, Engineering, Support",S - Sale,$161.42,-683,"86,208",-1%,"-$110,250"
,2024-03-12 17:29:46,2024-03-11,SNOW,Dageville Benoit,Pres of Products,S - Sale,$161.42,-689,"5,050,870",0%,"-$111,218"
,2024-03-12 17:27:47,2024-03-11,SNOW,Kleinerman Christian,"EVP, Product Management",S - Sale,$161.42,-685,"1,007,666",0%,"-$110,573"
,2024-03-12 17:25:38,2024-03-11,SNOW,Slootman Frank,"CEO, COB",S - Sale,$161.51,"-1,311","1,137,948",0%,"-$211,742"
,2024-03-07 20:21:17,2024-03-06,SNOW,McLaughlin Mark D,Dir,P - Purchase,$165.45,"+3,030","11,766",+35%,"+$501,314"
,2024-02-15 18:08:22,2024-02-14,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$230.00,"-1,500","958,942",0%,"-$345,000"
,2024-02-12 17:27:15,2024-02-09,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$230.00,"-10,000","960,442",-1%,"-$2,300,000"
D,2024-02-12 17:25:12,2024-02-09,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$232.67,"-213,922","1,046,749",-17%,"-$49,774,044"
D,2024-02-09 16:47:44,2024-02-08,SNOW,Slootman Frank,"CEO, COB",S - Sale+OE,$225.13,"-86,078","1,046,749",-8%,"-$19,378,740"
,2024-02-06 16:30:35,2024-02-05,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$220.00,"-10,000","970,442",-1%,"-$2,200,000"
DM,2024-02-05 17:29:34,2024-02-01,SNOW,Degnan Christopher William,Chief Revenue Officer,S - Sale+OE,$200.31,"-12,782","756,233",-2%,"-$2,560,320"
,2024-01-25 16:44:04,2024-01-24,SNOW,Kleinerman Christian,"SVP, Product Management",S - Sale,$210.00,"-10,000","980,442",-1%,"-$2,100,000"
