ticker,company name,short name
A,Agilent,Agilent
AA,Alcoa,Alcoa
AABA,Altaba,Altaba
AAC,AAC Holdings,AAC
AADR,AdvisorShares Dorsey Wright ADR,AdvisorShares Dorsey Wright
AAL,American Airlines Group,American Airlines
AAMC,Altisource Asset Managementp,Altisource Asset Management
AAME,Atlantic American,Atlantic American
AAN,Aaron's,Aaron's
AAOI,Applied Optoelectronics,Applied Optoelectronics
AAON,AAON,AAON
AAP,Advance Auto PartsW/I,Advance Auto Parts
AAPL,Apple,Apple
AAT,American Assets Trust,American Assets Trust
AAU,Almaden Minerals.,Almaden Minerals
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide
AAXJ,iShares MSCI Allntry Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund
AAXN,Axon Enterprise,Axon Enterprise
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units
ABB,ABB,ABB
ABBV,AbbVie,AbbVie
ABC,AmerisourceBergen,AmerisourceBergen
ABCB,Ameris Bancorp,Ameris Bancorp
ABDC,Alcentra Capitalp.,Alcentra Capital
ABEO,Abeona Therapeutics,Abeona Therapeutics
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1)
ABG,Asbury Automotive Group,Asbury Automotive
ABIL,Ability,Ability
ABIO,ARCA biopharma,ARCA biopharma
ABM,ABM Industriesrporated,ABM Industries Incorporated
ABMD,ABIOMED,ABIOMED
ABR,Arbor Realty Trust,Arbor Realty Trust
ABT,Abbott Laboratories,Abbott Laboratories
ABTX,Allegiance Bancshares,Allegiance Bancshares
ABUS,Arbutus Biopharma,Arbutus Biopharma
AC,Associated Capital Group,Associated Capital
ACA,Arcosa,Arcosa
ACAD,ACADIA Pharmaceuticals,ACADIA Pharmaceuticals
ACB,Aurora Cannabis,Aurora Cannabis
ACBI,Atlantic Capital Bancshares,Atlantic Capital Bancshares
ACC,American Campusmunities,American Campus Communities
ACCO,Acco Brands,Acco Brands
ACER,Acer Therapeutics,Acer Therapeutics
ACET,Aceto,Aceto
ACGL,Arch Capital Group.,Arch Capital
ACH,Aluminum of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares
ACHC,Acadia Healthcarepany,Acadia Healthcare Company
ACHN,Achillion Pharmaceuticals,Achillion Pharmaceuticals
ACHV,Achieve Life Sciences,Achieve Life Sciences
ACIA,Acaciamunications,Acacia Communications
ACIM,SPDR MSCI ACWI IMI,SPDR MSCI ACWI IMI
ACIU,AC Immune SA,AC Immune SA
ACIW,ACI Worldwide,ACI Worldwide
ACLS,Axcelis,Axcelis
ACM,AECOM,AECOM
ACMR,ACM Research,ACM Research
