v,vw,o,c,h,l,t,n,consistency,date
1061,185.1581,185.34,185.0,185.34,184.97,1704790800000,47,,2024-01-09 03:00:00
392,185.0074,185.0,185.0,185.0,185.0,1704790840000,13,40000.0,2024-01-09 03:00:40
567,185.0031,185.0,185.0,185.0,185.0,1704790865000,11,25000.0,2024-01-09 03:01:05
931,185.0,185.0,185.0,185.0,185.0,1704790977000,19,112000.0,2024-01-09 03:02:57
1000,185.0335,185.0,185.0,185.0,185.0,1704790989000,16,12000.0,2024-01-09 03:03:09
550,185.0527,185.05,185.05,185.05,185.05,1704791002000,8,13000.0,2024-01-09 03:03:22
150,185.1,185.1,185.1,185.1,185.1,1704791026000,3,24000.0,2024-01-09 03:03:46
1000,185.071,185.07,185.07,185.07,185.07,1704791122000,5,96000.0,2024-01-09 03:05:22
219,185.0664,185.07,185.07,185.07,185.07,1704791123000,5,1000.0,2024-01-09 03:05:23
578,185.0164,185.0,185.0,185.0,185.0,1704791151000,19,28000.0,2024-01-09 03:05:51
1012,185.0032,185.0,185.0,185.0,185.0,1704791239000,10,88000.0,2024-01-09 03:07:19
347,185.0,185.0,185.0,185.0,185.0,1704791247000,5,8000.0,2024-01-09 03:07:27
142,185.0,185.0,185.0,185.0,185.0,1704791278000,4,31000.0,2024-01-09 03:07:58
200,185.0,185.0,185.0,185.0,185.0,1704791322000,2,44000.0,2024-01-09 03:08:42
300,185.0,185.0,185.0,185.0,185.0,1704791324000,2,2000.0,2024-01-09 03:08:44
540,185.0,185.0,185.0,185.0,185.0,1704791335000,3,11000.0,2024-01-09 03:08:55
460,184.9143,184.92,184.92,184.92,184.92,1704791344000,23,9000.0,2024-01-09 03:09:04
916,184.95,184.95,184.95,184.95,184.95,1704791378000,7,34000.0,2024-01-09 03:09:38
857,184.9474,184.95,184.95,184.95,184.95,1704791404000,11,26000.0,2024-01-09 03:10:04
389,184.9165,184.95,184.86,184.95,184.86,1704791405000,7,1000.0,2024-01-09 03:10:05
1528,184.9,184.9,184.9,184.9,184.9,1704791444000,2,39000.0,2024-01-09 03:10:44
422,184.9,184.9,184.9,184.9,184.9,1704791450000,1,6000.0,2024-01-09 03:10:50
256,184.902,184.9,184.9,184.9,184.9,1704791520000,2,70000.0,2024-01-09 03:12:00
1497,185.0,185.0,185.0,185.0,185.0,1704791653000,4,133000.0,2024-01-09 03:14:13
339,184.9223,184.93,184.93,184.93,184.93,1704791728000,10,75000.0,2024-01-09 03:15:28
164,184.8586,184.85,184.85,184.85,184.85,1704791751000,2,23000.0,2024-01-09 03:15:51
178,184.898,184.9,184.9,184.9,184.9,1704791791000,3,40000.0,2024-01-09 03:16:31
1051,184.9,184.9,184.9,184.9,184.9,1704791808000,7,17000.0,2024-01-09 03:16:48
750,184.9173,184.91,184.91,184.91,184.91,1704791811000,9,3000.0,2024-01-09 03:16:51
2000,184.9879,184.99,184.99,184.99,184.99,1704791841000,15,30000.0,2024-01-09 03:17:21
326,184.9163,184.91,184.91,184.91,184.91,1704792058000,8,217000.0,2024-01-09 03:20:58
374,184.9131,184.91,184.91,184.91,184.91,1704792067000,9,9000.0,2024-01-09 03:21:07
326,184.91,184.91,184.91,184.91,184.91,1704792080000,1,13000.0,2024-01-09 03:21:20
757,184.905,184.91,184.9,184.91,184.9,1704792229000,13,149000.0,2024-01-09 03:23:49
362,184.9059,184.9,184.9,184.9,184.9,1704792236000,5,7000.0,2024-01-09 03:23:56
584,184.9958,185.0,185.0,185.0,185.0,1704792661000,14,425000.0,2024-01-09 03:31:01
187,184.9921,184.99,184.99,184.99,184.99,1704792722000,2,61000.0,2024-01-09 03:32:02
1005,184.9722,184.96,184.96,184.96,184.96,1704792756000,23,34000.0,2024-01-09 03:32:36
1212,184.96,184.96,184.96,184.96,184.96,1704792758000,1,2000.0,2024-01-09 03:32:38
181,185.02,185.02,185.02,185.02,185.02,1704793120000,3,362000.0,2024-01-09 03:38:40
418,185.0208,185.03,185.03,185.03,185.03,1704793129000,13,9000.0,2024-01-09 03:38:49
692,185.0407,185.04,185.04,185.04,185.04,1704793311000,6,182000.0,2024-01-09 03:41:51
100,185.14,185.14,185.14,185.14,185.14,1704794281000,1,970000.0,2024-01-09 03:58:01
1571,185.0946,185.1,185.09,185.1,185.09,1704794399000,19,118000.0,2024-01-09 03:59:59
163,185.1023,185.1,185.1,185.1,185.1,1704794409000,3,10000.0,2024-01-09 04:00:09
501,185.091,185.09,185.09,185.09,185.09,1704794428000,3,19000.0,2024-01-09 04:00:28
500,185.09,185.09,185.09,185.09,185.09,1704794431000,1,3000.0,2024-01-09 04:00:31
727,185.09,185.09,185.09,185.09,185.09,1704794433000,9,2000.0,2024-01-09 04:00:33
928,185.0484,185.05,185.05,185.05,185.05,1704794469000,20,36000.0,2024-01-09 04:01:09
2001,185.0027,185.01,185.0,185.01,185.0,1704794795000,18,326000.0,2024-01-09 04:06:35
200,185.0,185.0,185.0,185.0,185.0,1704794799000,1,4000.0,2024-01-09 04:06:39
859,185.0012,185.01,185.0,185.01,185.0,1704794951000,35,152000.0,2024-01-09 04:09:11
500,185.0532,185.05,185.05,185.05,185.05,1704795131000,8,180000.0,2024-01-09 04:12:11
1230,185.0801,185.03,185.03,185.03,185.03,1704795165000,27,34000.0,2024-01-09 04:12:45
473,185.0398,185.03,185.03,185.03,185.03,1704795187000,12,22000.0,2024-01-09 04:13:07
1300,185.0023,185.02,184.99,185.02,184.99,1704795213000,16,26000.0,2024-01-09 04:13:33
100,184.99,184.99,184.99,184.99,184.99,1704795219000,1,6000.0,2024-01-09 04:13:39
325,184.9836,184.98,184.98,184.98,184.98,1704795261000,8,42000.0,2024-01-09 04:14:21
272,185.0125,185.01,185.01,185.01,185.01,1704795315000,5,54000.0,2024-01-09 04:15:15
150,185.0207,185.02,185.02,185.02,185.02,1704795535000,2,220000.0,2024-01-09 04:18:55
102,185.1,185.1,185.1,185.1,185.1,1704796025000,3,490000.0,2024-01-09 04:27:05
596,185.037,185.05,185.05,185.05,185.05,1704796205000,23,180000.0,2024-01-09 04:30:05
109,185.0214,185.02,185.02,185.02,185.02,1704796224000,2,19000.0,2024-01-09 04:30:24
225,185.0978,185.1,185.1,185.1,185.1,1704796654000,2,430000.0,2024-01-09 04:37:34
200,185.0992,185.1,185.1,185.1,185.1,1704796656000,4,2000.0,2024-01-09 04:37:36
170,185.0195,185.02,185.02,185.02,185.02,1704797164000,3,508000.0,2024-01-09 04:46:04
181,185.02,185.02,185.02,185.02,185.02,1704797194000,1,30000.0,2024-01-09 04:46:34
