Trade Date,Value
2022-08-03,-4119155.0
2022-08-17,-33848518.0
2022-10-03,-50677999.0
2022-10-17,-1147150.0
2022-10-28,-27493275.0
2022-11-22,-3004144.0
2023-03-22,-29991745.0
2023-04-03,-28415677.0
2023-04-04,-12926379.0
2023-04-06,-32984.0
2023-04-13,-11566839.0
2023-05-08,-708980.0
2023-08-07,-2753217.0
2023-10-03,-64056322.0
2023-10-06,-23708127.0
2023-11-10,-884496.0
2023-11-17,-23305748.0
2023-11-29,-1058496.0
2024-02-29,-18094000.0
2024-04-01,-33258614.0
2024-04-02,-18489017.0
2024-04-11,-19450813.0
