Trade Date,Value
2022-05-17,-374275.0
2022-05-18,-366600.0
2022-05-19,-361247.0
2022-05-20,-362285.0
2022-05-23,-365624.0
2022-05-24,-359526.0
2022-05-25,-366333.0
2022-05-26,-371419.0
2022-05-27,-375829.0
2022-05-31,-374550.0
2022-06-01,-410373.0
2022-06-02,-420098.0
2022-06-03,-427628.0
2022-06-06,-425408.0
2022-06-07,-428219.0
2022-06-08,-434248.0
2022-06-09,-437287.0
2022-06-10,-413034.0
2022-06-13,-387192.0
2022-06-14,-377831.0
2022-06-15,-386262.0
2022-06-16,-371353.0
2022-06-17,-375343.0
2022-06-21,-385296.0
2022-06-22,-387167.0
2022-06-23,-1317192.0
2022-06-24,-422193.0
2022-06-27,-418706.0
2022-06-28,-53411449.0
2022-06-29,-51514363.0
2022-07-01,-383658.0
2022-07-05,-389090.0
2022-07-06,-397108.0
2022-07-07,-403730.0
2022-07-08,-402643.0
2022-07-11,-400861.0
2022-07-12,-384760.0
2022-07-13,-376948.0
2022-07-14,-368133.0
2022-07-15,-381660.0
2022-07-18,-390933.0
2022-07-19,-395034.0
2022-07-20,-417364.0
2022-07-21,-421623.0
2022-07-22,-421382.0
2022-07-25,-1048452.0
2022-07-26,-395552.0
2022-07-27,-411111.0
2022-07-28,-413683.0
2022-07-29,-420083.0
2022-08-01,-421183.0
2022-08-02,-420434.0
2022-08-03,-435341.0
2022-08-04,-435913.0
2022-08-05,-436165.0
2022-08-09,-419262.0
2022-08-10,-433350.0
2022-08-11,-433072.0
2022-08-12,-432737.0
2022-08-15,-438577.0
2022-08-16,-434715.0
2022-08-17,-431917.0
2022-08-18,-431347.0
2022-08-19,-421492.0
2022-08-22,-408100.0
2022-08-23,-404846.0
2022-08-24,-412908.0
2022-08-25,-390642.0
2022-08-26,-388815.0
2022-08-29,-373913.0
2022-08-30,-368287.0
2022-08-31,-362642.0
2022-09-01,-351427.0
2022-09-02,-357842.0
2022-09-06,-350265.0
2022-09-07,-350559.0
2022-09-08,-357672.0
2022-09-09,-371138.0
2022-09-12,-377544.0
2022-09-13,-366971.0
2022-09-14,-368128.0
2022-09-15,-359708.0
2022-09-16,-347456.0
2022-09-19,-349111.0
2022-09-20,-345854.0
2022-09-21,-345675.0
2022-09-22,-346353.0
2022-09-23,-1249593.0
