i,Date,Close,Volume,Insider_Trades,News_Sentiment
227,2022-05-23,160.32000732421875,6148800,-365624.0,
228,2022-05-24,156.92999267578125,6928400,-359526.0,
229,2022-05-25,159.64999389648438,7436800,-366333.0,
230,2022-05-26,162.4600067138672,6697700,-371419.0,
231,2022-05-27,165.10000610351562,7883600,-375829.0,
232,2022-05-31,160.24000549316406,18114600,-374550.0,
233,2022-06-01,176.07000732421875,37037400,-410373.0,
234,2022-06-02,188.3999938964844,19231200,-420098.0,
235,2022-06-03,184.91000366210935,9224000,-427628.0,
236,2022-06-06,182.8699951171875,5811700,-425408.0,
237,2022-06-07,187.1499938964844,6331100,-428219.0,
238,2022-06-08,189.19000244140625,6226200,-434248.0,
239,2022-06-09,187.1100006103516,8467700,-437287.0,
240,2022-06-10,178.4499969482422,7855800,-413034.0,
241,2022-06-13,166.02999877929688,10726200,-387192.0,
242,2022-06-14,164.4499969482422,8576200,-377831.0,
243,2022-06-15,168.5500030517578,7740700,-386262.0,
244,2022-06-16,159.85000610351562,8090900,-371353.0,
245,2022-06-17,163.25999450683594,13074600,-375343.0,
246,2022-06-21,166.8300018310547,6736800,-385296.0,
247,2022-06-22,167.4499969482422,5864500,-387167.0,
248,2022-06-23,173.0500030517578,7258000,-1317192.0,
249,2022-06-24,185.9199981689453,12107100,-422193.0,
250,2022-06-27,181.30999755859372,6170600,-418706.0,
251,2022-06-28,171.4600067138672,6668600,-53411449.0,
252,2022-06-29,170.61000061035156,5430400,-51514363.0,
253,2022-06-30,165.0399932861328,9539400,,
254,2022-07-01,168.1999969482422,4561600,-383658.0,
255,2022-07-05,172.1999969482422,4614200,-389090.0,
256,2022-07-06,172.72999572753906,4085100,-397108.0,
257,2022-07-07,176.63999938964844,4000100,-403730.0,
258,2022-07-08,175.5,2869200,-402643.0,
259,2022-07-11,174.36000061035156,3689300,-400861.0,
260,2022-07-12,166.3300018310547,7073000,-384760.0,
261,2022-07-13,163.49000549316406,6225900,-376948.0,
262,2022-07-14,161.0399932861328,6096100,-368133.0,
263,2022-07-15,167.3800048828125,6037700,-381660.0,
264,2022-07-18,167.88999938964844,3818200,-390933.0,
265,2022-07-19,173.80999755859375,4373400,-395034.0,
266,2022-07-20,182.4499969482422,5654000,-417364.0,
267,2022-07-21,185.3500061035156,3886000,-421623.0,
268,2022-07-22,182.47000122070312,3804700,-421382.0,
269,2022-07-25,177.2899932861328,4407900,-1048452.0,
270,2022-07-26,170.4600067138672,3886500,-395552.0,
271,2022-07-27,180.3000030517578,4960900,-411111.0,
272,2022-07-28,181.2899932861328,4562100,-413683.0,
273,2022-07-29,184.0200042724609,4751400,-420083.0,
274,2022-08-01,182.97999572753903,3997100,-421183.0,
275,2022-08-02,183.7899932861328,4317900,-420434.0,
276,2022-08-03,189.6499938964844,5786300,-435341.0,
277,2022-08-04,191.2700042724609,3759700,-435913.0,
278,2022-08-05,190.1699981689453,4090300,-436165.0,
279,2022-08-08,189.75,3396800,,
280,2022-08-09,182.2400054931641,5851700,-419262.0,
281,2022-08-10,188.6100006103516,4179200,-433350.0,
282,2022-08-11,186.72999572753903,4175100,-433072.0,
283,2022-08-12,189.88999938964844,3846200,-432737.0,
284,2022-08-15,191.05999755859372,2768500,-438577.0,
285,2022-08-16,189.58999633789065,3835900,-434715.0,
286,2022-08-17,187.9600067138672,3181300,-431917.0,
287,2022-08-18,187.92999267578125,2791600,-431347.0,
288,2022-08-19,183.7700042724609,4346100,-421492.0,
