Trade Date,Value
2022-05-27,-1000000.0
2022-06-10,91931667.0
2022-07-22,-1500000.0
2022-07-27,-420000.0
2022-08-01,-3152791.0
2022-09-01,-1215898.0
2022-09-07,-462220.0
2022-09-12,-294196.0
2022-10-05,-400000.0
2022-11-01,-470015.0
2022-12-01,-1507024.0
2022-12-09,-405240.0
2023-01-04,-303222508.0
2023-01-18,-308473.0
2023-01-23,-111647.0
2023-02-01,-847520.0
2023-03-01,-3935724.0
2023-03-24,-999000.0
2023-05-01,-973520.0
2023-05-05,-1014305.0
2023-06-01,-896800.0
2023-07-05,-840915.0
2023-08-01,-848813.0
2023-09-01,-822960.0
2023-10-02,-757148.0
2023-11-01,-768825.0
2023-11-28,-1165095.0
2023-12-01,-876893.0
2023-12-12,-10725600.0
2023-12-13,-3432915.0
2023-12-26,-24972444.0
2023-12-27,-216993.0
2024-03-15,-3588623.0
2024-03-20,-9801484.0
2024-04-15,-3632143.0
2024-05-15,-3709358.0
