,Date,Close,Volume,Insider_Trades,News_Sentiment
0,2023-05-30,112.95999908447266,4087484,0.0,
1,2023-05-31,112.19000244140624,16398430,0.0,
2,2023-06-01,112.75,4084447,-896800.0,
3,2023-06-02,113.9000015258789,4527026,0.0,
4,2023-06-05,112.2300033569336,5873121,0.0,
5,2023-06-06,114.2300033569336,31736858,0.0,
6,2023-06-07,115.77999877929688,3075854,0.0,
7,2023-06-08,115.29000091552734,2963534,0.0,
8,2023-06-09,116.81999969482422,2635904,0.0,
9,2023-06-12,117.62999725341795,3573019,0.0,
10,2023-06-13,118.76000213623048,3709600,0.0,
11,2023-06-14,120.0,4561626,0.0,
12,2023-06-15,120.3499984741211,3082944,0.0,
13,2023-06-16,119.95999908447266,6420131,0.0,
14,2023-06-20,119.56999969482422,2530348,0.0,
15,2023-06-21,120.02999877929688,2227042,0.0,
16,2023-06-22,120.54000091552734,1666300,0.0,
17,2023-06-23,120.48999786376952,4278353,0.0,
18,2023-06-26,120.16000366210938,2302114,0.0,
19,2023-06-27,122.4000015258789,2593491,0.0,
20,2023-06-28,122.9499969482422,2940213,0.0,
21,2023-06-29,124.0500030517578,2561626,0.0,
22,2023-06-30,126.1500015258789,3083942,0.0,
23,2023-07-03,125.9499969482422,1395604,0.0,
24,2023-07-05,124.9000015258789,3508961,-840915.0,
25,2023-07-06,125.38999938964844,2260349,0.0,
26,2023-07-07,125.1999969482422,2004562,0.0,
27,2023-07-10,126.88999938964844,2588908,0.0,
28,2023-07-11,126.98999786376952,1903518,0.0,
29,2023-07-12,127.56999969482422,2212260,0.0,
30,2023-07-13,128.67999267578125,2366089,0.0,
31,2023-07-14,128.0,1829522,0.0,
32,2023-07-17,128.50999450683594,1822651,0.0,
33,2023-07-18,129.32000732421875,2063011,0.0,
34,2023-07-19,127.62999725341795,3417689,0.0,
35,2023-07-20,129.3800048828125,2625665,0.0,
36,2023-07-21,128.52999877929688,2409008,0.0,
37,2023-07-24,129.75,2706807,0.0,
38,2023-07-25,130.05999755859375,3114403,0.0,
39,2023-07-26,127.3000030517578,4829349,0.0,
40,2023-07-27,123.51000213623048,3923897,0.0,
41,2023-07-28,124.98999786376952,3294139,0.0,
42,2023-07-31,126.20999908447266,2811193,0.0,
43,2023-08-01,126.97000122070312,2064410,-848813.0,
44,2023-08-02,124.55999755859376,2205958,0.0,
45,2023-08-03,125.18000030517578,1784057,0.0,
46,2023-08-04,124.81999969482422,1788810,0.0,
47,2023-08-07,125.87999725341795,1493158,0.0,
48,2023-08-08,125.1999969482422,1553101,0.0,
49,2023-08-09,125.0500030517578,1681358,0.0,
50,2023-08-10,126.01000213623048,1880053,0.0,
51,2023-08-11,125.58999633789062,1338470,0.0,
52,2023-08-14,124.47000122070312,2168838,0.0,
53,2023-08-15,123.16999816894533,1950707,0.0,
54,2023-08-16,121.77999877929688,1994802,0.0,
55,2023-08-17,120.33000183105467,2428210,0.0,
56,2023-08-18,120.08000183105467,2223651,0.0,
57,2023-08-21,119.08999633789062,1767736,0.0,
58,2023-08-22,119.26000213623048,1631834,0.0,
59,2023-08-23,120.41000366210938,1673826,0.0,
60,2023-08-24,120.66000366210938,2085928,0.0,
61,2023-08-25,121.4800033569336,1894510,0.0,
62,2023-08-28,122.73999786376952,1354164,0.0,
63,2023-08-29,122.7300033569336,1457764,0.0,
64,2023-08-30,122.58999633789062,1765652,0.0,
65,2023-08-31,121.38999938964844,2869748,0.0,
66,2023-09-01,122.80999755859376,1777223,-822960.0,
67,2023-09-05,121.80999755859376,2119529,0.0,
68,2023-09-06,122.5,1892621,0.0,
69,2023-09-07,123.0999984741211,2346152,0.0,
70,2023-09-08,121.5999984741211,2263789,0.0,
71,2023-09-11,121.68000030517578,2075907,0.0,
72,2023-09-12,121.6500015258789,2290655,0.0,
73,2023-09-13,121.3000030517578,2596242,0.0,
74,2023-09-14,122.1999969482422,1930850,0.0,
75,2023-09-15,121.0500030517578,5501836,0.0,
76,2023-09-18,121.1999969482422,2077138,0.0,
77,2023-09-19,120.69000244140624,1702837,0.0,
78,2023-09-20,119.69000244140624,1444442,0.0,
79,2023-09-21,116.72000122070312,3260464,0.0,
80,2023-09-22,116.08000183105467,2238646,0.0,
81,2023-09-25,116.08999633789062,1513187,0.0,
82,2023-09-26,114.55999755859376,2147850,0.0,
83,2023-09-27,113.19000244140624,3084264,0.0,
84,2023-09-28,113.5500030517578,2599729,0.0,
85,2023-09-29,112.95999908447266,2376600,0.0,
86,2023-10-02,112.8499984741211,2289754,-757148.0,
87,2023-10-03,111.0500030517578,2696886,0.0,
88,2023-10-04,112.97000122070312,3170607,0.0,
89,2023-10-05,113.1500015258789,2613326,0.0,
90,2023-10-06,114.05999755859376,2044546,0.0,
91,2023-10-09,114.36000061035156,2041070,0.0,
92,2023-10-10,114.6500015258789,1673693,0.0,
93,2023-10-11,113.5500030517578,2313948,0.0,
94,2023-10-12,112.68000030517578,1740482,0.0,
95,2023-10-13,112.4800033569336,2067872,0.0,
96,2023-10-16,113.58000183105467,2247695,0.0,
97,2023-10-17,114.98999786376952,3163992,0.0,
