Trade Date,Value
2022-10-17,-3880135.0
2022-10-18,-617055.0
2022-10-26,-1056373.0
2022-11-10,-868223.0
2023-01-17,-9827373.0
2023-01-19,50448.0
2023-05-11,-15701195.0
2023-05-15,-6340763.0
2023-05-19,-173836.0
2023-06-12,-263243.0
2023-06-15,-2205796.0
2023-08-07,-677343.0
2023-09-06,-624335.0
2023-12-12,-5158906.0
2024-01-16,-3228867.0
2024-02-16,-3465980.0
2024-02-22,-165690610.0
2024-03-25,-765805.0
2024-04-15,-32824625.0
2024-05-06,-4167359.0
2024-05-08,-5773284.0
2024-05-10,-596577.0
2024-05-14,-2347065.0
2024-05-20,-1948851.0
