Trade Date,Value
2022-06-08,-10466050.0
2022-06-28,-184071.0
2022-07-01,-4478795.0
2022-07-05,-2654044.0
2022-07-11,-182057.0
2022-08-01,-4707546.0
2022-08-02,-494000.0
2022-08-29,-229100.0
2022-09-01,-3628434.0
2022-09-08,-24096252.0
2022-10-03,-11711489.0
2022-11-01,-2681544.0
2022-12-01,-2170930.0
2022-12-12,-14000000.0
2022-12-15,-245164.0
2023-01-03,-11359435.0
2023-02-01,-10513605.0
2023-03-01,-11231518.0
2023-03-15,-1014650.0
2023-04-03,-13384606.0
2023-04-26,-480000.0
2023-05-04,-480000.0
2023-05-09,-4551750.0
2023-05-17,-280000.0
2023-06-01,-13111156.0
2023-06-02,-2541689.0
2023-06-15,-811315.0
2023-07-03,-33568468.0
2023-07-10,-231740.0
2023-07-18,-420000.0
2023-08-01,-840000.0
2023-08-04,-2490360.0
2023-09-05,-2732010.0
2023-09-07,-6115921.0
2023-09-14,-1854119.0
2023-09-15,-785488.0
2023-09-26,-43845181.0
2023-09-27,-209231.0
2023-10-02,-6526559.0
2023-10-06,-424200.0
2023-10-10,-730000.0
2023-11-01,-14681756.0
2023-11-07,-38418100.0
2023-11-13,-4082227.0
2023-11-14,-625200.0
2023-11-20,-15355173.0
2023-11-27,-3106797.0
2023-11-29,-5890291.0
2023-12-01,-13811148.0
2023-12-04,-2623988.0
2023-12-28,-1892121.0
2024-01-02,-18919777.0
2024-01-16,-499200.0
2024-01-22,-420000.0
2024-02-01,-16842699.0
2024-02-05,-2381214.0
2024-02-08,-10489520.0
2024-03-01,-17944785.0
2024-03-13,-10046210.0
2024-04-01,-2517338.0
2024-04-02,-11396349.0
2024-04-04,-1654100.0
2024-04-08,-730000.0
2024-05-01,-2628856.0
2024-06-04,-468472.0
