Trade Date,Value
2022-05-23,-1810368.0
2022-05-24,-61741.0
2022-05-31,-789856.0
2022-06-07,-65640.0
2022-06-14,-56734.0
2022-06-21,-56810.0
2022-06-28,-58106.0
2022-07-05,-54077.0
2022-07-12,-56362.0
2022-07-19,-58267.0
2022-07-26,-56704.0
2022-08-02,-54084.0
2022-08-09,-57713.0
2022-08-15,-15070802.0
2022-08-16,-374758.0
2022-08-23,-55568.0
2022-08-30,-54802.0
2022-09-06,-54741.0
2022-09-13,-55141.0
2022-09-20,-49853.0
2022-09-27,-47169.0
2022-10-04,-48000.0
2022-10-11,-44952.0
2022-10-18,-46854.0
2022-10-25,-44734.0
2022-11-01,-32254.0
2022-11-08,-31369.0
2022-11-15,-10204141.0
2022-11-16,-201669.0
2022-11-23,-38167.0
2022-11-30,-37408.0
2022-12-07,-38950.0
2022-12-14,-40913.0
2022-12-21,-39911.0
2022-12-28,-39822.0
2023-01-04,-43571.0
2023-01-11,-44812.0
2023-01-18,-46413.0
2023-01-25,-48359.0
2023-02-01,-50616.0
2023-02-07,-4453566.0
2023-02-08,-62130.0
2023-02-15,-12816069.0
2023-02-16,-310041.0
2023-02-17,-2271038.0
2023-02-21,-68402.0
2023-02-28,-67592.0
2023-03-07,-74277.0
2023-03-14,-73589.0
2023-03-21,-79881.0
2023-03-28,-78600.0
2023-04-04,-83756.0
2023-04-11,-84825.0
2023-04-18,-86436.0
2023-04-25,-82895.0
2023-05-02,-95570.0
2023-05-09,-86655.0
2023-05-15,-10305485.0
2023-05-16,-170089.0
2023-05-17,-1022935.0
2023-05-23,-178377.0
2023-05-30,-191330.0
2023-06-06,-195041.0
2023-06-13,-198550.0
2023-06-20,-201243.0
2023-06-27,-203604.0
2023-07-03,-206997.0
2023-07-11,-211908.0
2023-07-18,-224520.0
2023-07-25,-213127.0
2023-08-01,-229358.0
2023-08-08,-223844.0
2023-08-15,-20890592.0
2023-08-16,-201000.0
2023-08-17,-1253161.0
2023-08-22,-196009.0
2023-08-29,-193262.0
2023-09-05,-199292.0
2023-09-12,-205248.0
2023-09-19,-202662.0
2023-09-26,-199432.0
2023-10-03,-203680.0
2023-10-10,-213898.0
2023-10-17,-213187.0
2023-10-24,-212243.0
2023-10-31,-203084.0
2023-11-01,-8599970.0
2023-11-02,-8699615.0
2023-11-03,-8781097.0
2023-11-06,-8855432.0
2023-11-07,-9146675.0
2023-11-08,-8910009.0
2023-11-09,-8991693.0
2023-11-10,-9125422.0
2023-11-13,-9244290.0
2023-11-14,-9399639.0
2023-11-15,-30707377.0
2023-11-16,-9454247.0
2023-11-17,-9345874.0
2023-11-20,-12896313.0
2023-11-21,-9658999.0
2023-11-22,-9559965.0
2023-11-24,-9481419.0
2023-11-27,-9460098.0
2023-11-28,-9597138.0
2023-11-29,-11420482.0
2023-11-30,-9132146.0
2023-12-01,-9059965.0
2023-12-04,-8887013.0
2023-12-05,-9089999.0
2023-12-06,-8941765.0
2023-12-07,-9105013.0
2023-12-08,-9239639.0
2023-12-11,-9061479.0
2023-12-12,-9428788.0
2023-12-13,-9392549.0
2023-12-14,-9296660.0
2023-12-15,-9408484.0
2023-12-18,-9638393.0
2023-12-19,-20426689.0
2023-12-20,-16373381.0
2023-12-21,-16798472.0
2023-12-22,-16885964.0
2023-12-26,-17135183.0
2023-12-27,-17045951.0
2023-12-28,-20749576.0
2023-12-29,-6984196.0
2024-01-02,-572980.0
2024-01-05,-6917352.0
2024-01-08,-6991681.0
2024-01-09,-7247653.0
2024-01-10,-7260229.0
2024-01-11,-7243445.0
2024-01-12,-7364951.0
2024-01-16,-7494104.0
2024-01-17,-7183283.0
2024-01-18,-7370916.0
2024-01-19,-7513661.0
2024-01-22,-11068276.0
2024-01-23,-7800941.0
2024-01-24,-9499439.0
2024-01-25,-7729720.0
2024-01-26,-7769182.0
2024-01-29,-28873123.0
2024-01-30,-26660431.0
2024-01-31,-7751411.0
2024-02-01,-7967950.0
2024-02-02,-46146531.0
2024-02-05,-44955703.0
2024-02-06,-44677270.0
2024-02-07,-45420285.0
2024-02-08,-45456884.0
2024-02-09,-45601727.0
2024-02-12,-45956177.0
2024-02-13,-44963119.0
2024-02-14,-45602748.0
2024-02-15,-80239173.0
2024-02-16,-46284128.0
2024-02-20,-45915156.0
2024-02-21,-45252792.0
2024-02-22,-37665250.0
2024-02-23,-37979558.0
2024-02-26,-37416417.0
2024-02-27,-37772336.0
2024-02-28,-37635974.0
2024-02-29,-37800659.0
2024-03-01,-38970281.0
2024-03-04,-38752239.0
2024-03-05,-38312008.0
2024-03-06,-38520828.0
2024-03-07,-39486705.0
2024-03-08,-39819620.0
2024-03-11,-37553305.0
2024-03-12,-38643224.0
2024-03-13,-38370049.0
2024-03-14,-38332991.0
2024-03-15,-37792386.0
2024-03-18,-38116121.0
2024-03-19,-38246209.0
2024-03-20,-38729892.0
2024-03-21,-39414295.0
2024-03-22,-39490022.0
2024-03-25,-39079406.0
2024-03-26,-39454654.0
2024-03-27,-37889084.0
2024-03-28,-15379362.0
2024-04-01,-15703108.0
2024-04-02,-283725.0
2024-04-05,-253090.0
2024-04-09,-305370.0
2024-04-12,-253698.0
2024-04-16,-291675.0
2024-04-19,-245578.0
2024-04-23,-287381.0
2024-04-26,-216355.0
2024-04-30,-252164.0
2024-05-03,-218506.0
2024-05-07,-268606.0
2024-05-15,-29125065.0
2024-05-16,-429875.0
2024-05-21,-423151.0
