Trade Date,Value
2023-01-31,-1305172.0
2023-05-01,-8513136.0
2023-05-10,-2389071.0
2023-05-11,-167490.0
2023-05-30,-944509.0
2023-06-01,-10459249.0
2023-06-08,-199885.0
2023-06-09,-383775.0
2023-07-03,-10230469.0
2023-07-05,-21192657.0
2023-07-10,-219260.0
2023-07-13,-424350.0
2023-07-26,-2091777.0
2023-08-01,-8886051.0
2023-08-04,-23877075.0
2023-08-08,-220180.0
2023-09-01,-7917198.0
2023-09-11,-221535.0
2023-10-02,-6736063.0
2023-10-09,-189025.0
2023-11-01,-6694318.0
2023-11-07,-35412613.0
2023-11-08,-217500.0
2023-12-11,-3142941.0
2023-12-19,-9838620.0
2023-12-20,-6212000.0
2024-01-02,-12232221.0
2024-01-24,-58890111.0
2024-01-26,-3181475.0
2024-02-01,-11759467.0
2024-02-06,-148454.0
2024-02-07,-1043227.0
2024-02-08,-4990228.0
2024-02-09,-38707426.0
2024-02-27,-5696400.0
2024-03-01,-11303912.0
2024-03-18,-3345000.0
2024-04-01,-12553955.0
2024-04-30,-1685600.0
2024-05-01,-10126777.0
2024-05-03,-2674799.0
2024-05-09,-345777.0
2024-05-21,-3149900.0
