Trade Date,Value
2022-05-27,-51893840.0
2022-06-08,-4450583.0
2022-06-13,-35983438.0
2022-09-01,-134247.0
2022-10-11,-9902020.0
2022-10-13,-10469235.0
2022-11-21,-74799.0
2022-12-15,-418718.0
2022-12-19,-48579.0
2022-12-21,-9905486.0
2023-01-09,-33273900.0
2023-01-12,-10759900.0
2023-01-26,-4296400.0
2023-01-27,-4824060.0
2023-02-24,-1728002.0
2023-02-27,-4727428.0
2023-03-13,-1375747.0
2023-03-30,-1372765.0
2023-05-18,-7040620.0
2023-05-26,-40911042.0
2023-05-30,-2489468.0
2023-06-01,-147413.0
2023-06-02,-28433025.0
2023-06-07,-1344108.0
2023-06-13,-48297293.0
2023-06-14,-21472953.0
2023-06-16,-51120609.0
2023-06-26,-120142.0
2023-08-28,-27386184.0
2023-09-01,-28828766.0
2023-09-06,-13999287.0
2023-09-07,-13605939.0
2023-09-11,-13329754.0
2023-09-12,-13417928.0
2023-09-13,-13478507.0
2023-09-14,-13528345.0
2023-11-24,-5072442.0
2023-11-27,-38398020.0
2023-11-28,-5255469.0
2023-11-29,-7633761.0
2023-12-13,-10257088.0
2023-12-15,-5492567.0
2023-12-18,-10000860.0
2024-01-05,-218079.0
2024-01-08,-2838000.0
2024-01-10,-29527009.0
2024-01-12,-19690344.0
2024-02-23,-76957804.0
2024-03-04,-10242502.0
2024-03-05,-174246006.0
2024-03-07,-19995508.0
2024-03-22,-410229.0
2024-03-25,-120320.0
2024-03-28,-9962150.0
2024-04-02,-6215259.0
2024-04-05,-19975240.0
