volume,vw,open,close,high,low,t,num_trades,simpletime,date,vwap
100,195.6,195.6,195.6,195.6,195.6,1704790872000,1,1,2024-01-09 03:01:12,195.6
814,195.6498,195.65,195.65,195.65,195.65,1704790905000,22,2,2024-01-09 03:01:45,195.64435142231946
114,195.6,195.6,195.6,195.6,195.6,1704790918000,2,3,2024-01-09 03:01:58,195.63943307392995
100,195.85,195.85,195.85,195.85,195.85,1704790932000,1,4,2024-01-09 03:02:12,195.6581003546099
806,195.8005,195.8,195.8,195.8,195.8,1704790939000,12,5,2024-01-09 03:02:19,195.71744581178902
965,195.75,195.75,195.75,195.75,195.75,1704790982000,23,6,2024-01-09 03:03:02,195.72828223525352
261,195.7652,195.76,195.76,195.76,195.76,1704790984000,12,7,2024-01-09 03:03:04,195.73133145569616
207,195.7614,195.76,195.76,195.76,195.76,1704790991000,4,8,2024-01-09 03:03:11,195.73318004158
466,195.7735,195.75,195.78,195.78,195.75,1704791015000,12,9,2024-01-09 03:03:35,195.73808197234538
357,195.8017,195.8,195.8,195.8,195.8,1704791023000,12,10,2024-01-09 03:03:43,195.74350241050115
120,195.745,195.75,195.75,195.75,195.75,1704791027000,3,11,2024-01-09 03:03:47,195.7435441067285
710,195.7196,195.72,195.72,195.72,195.72,1704791036000,12,12,2024-01-09 03:03:56,195.7401575896414
248,195.7,195.7,195.7,195.7,195.7,1704791038000,1,13,2024-01-09 03:03:58,195.73826710326497
754,195.793,195.79,195.79,195.79,195.79,1704791056000,27,14,2024-01-09 03:04:16,195.74512007638654
420,195.7162,195.73,195.73,195.73,195.73,1704791070000,10,15,2024-01-09 03:04:30,195.74323457000926
140,195.7286,195.73,195.73,195.73,195.73,1704791073000,4,16,2024-01-09 03:04:33,195.74292329079302
100,195.75,195.75,195.75,195.75,195.75,1704791074000,1,17,2024-01-09 03:04:34,195.74302919784492
760,195.75,195.75,195.75,195.75,195.75,1704791097000,11,18,2024-01-09 03:04:57,195.74374107766724
200,195.693,195.7,195.7,195.7,195.7,1704791110000,5,19,2024-01-09 03:05:10,195.7424131248364
140,195.7,195.7,195.7,195.7,195.7,1704791117000,1,20,2024-01-09 03:05:17,195.74165010280132
546,195.1073,195.1,195.04,195.1,195.04,1704792187000,15,21,2024-01-09 03:23:07,195.70006086695483
300,195.25,195.25,195.25,195.25,195.25,1704792261000,9,22,2024-01-09 03:24:21,195.68441201900785
300,195.27,195.27,195.27,195.27,195.27,1704792312000,5,23,2024-01-09 03:25:12,195.67048688396054
200,195.32,195.32,195.32,195.32,195.32,1704792316000,4,24,2024-01-09 03:25:16,195.6628075043821
200,195.3,195.3,195.3,195.3,195.3,1704792361000,5,25,2024-01-09 03:26:01,195.6550286127787
100,195.69,195.69,195.69,195.69,195.69,1704792914000,1,26,2024-01-09 03:35:14,195.65539954391173
500,195.72,195.72,195.72,195.72,195.72,1704795844000,7,27,2024-01-09 04:24:04,195.65865299153907
370,195.8465,195.85,195.85,195.85,195.85,1704795866000,9,28,2024-01-09 04:24:26,195.6654022043115
1000,195.69,195.69,195.69,195.69,195.69,1704795894000,13,29,2024-01-09 04:24:54,195.66757938573198
364,195.7727,195.78,195.78,195.78,195.78,1704795919000,12,30,2024-01-09 04:25:19,195.6708604613274
724,195.7044,195.7,195.7,195.7,195.7,1704795928000,13,31,2024-01-09 04:25:28,195.6728209510738
1000,195.65,195.65,195.65,195.65,195.65,1704796001000,12,32,2024-01-09 04:26:41,195.6711161138503
500,195.744,195.74,195.74,195.74,195.74,1704796022000,13,33,2024-01-09 04:27:02,195.67374047961977
157,195.75,195.75,195.75,195.75,195.75,1704796024000,3,34,2024-01-09 04:27:04,195.6745930570391
230,195.703,195.7,195.7,195.7,195.7,1704796030000,6,35,2024-01-09 04:27:10,195.67505081622645
320,195.6694,195.67,195.67,195.67,195.67,1704796035000,3,36,2024-01-09 04:27:15,195.6749269033098
100,195.51,195.51,195.51,195.51,195.51,1704796069000,1,37,2024-01-09 04:27:49,195.67380441706936
500,195.0728,195.05,195.05,195.05,195.05,1704799855000,11,38,2024-01-09 05:30:55,195.6540254261831
100,195.36,195.36,195.36,195.36,195.36,1704799881000,1,39,2024-01-09 05:31:21,195.65210281174393
1001,195.199,195.2,195.2,195.2,195.2,1704800200000,22,40,2024-01-09 05:36:40,195.62426704922058
1113,195.25,195.25,195.25,195.25,195.25,1704800234000,22,41,2024-01-09 05:37:14,195.6003364910668
200,194.604,194.6,194.6,194.6,194.6,1704800689000,2,42,2024-01-09 05:44:49,195.5890189867666
320,195.0506,194.99,194.99,194.99,194.99,1704801600000,12,43,2024-01-09 06:00:00,195.5794081162492
843,194.7472,195.0,194.61,195.0,194.61,1704801916000,21,44,2024-01-09 06:05:16,195.54203190729885
243,195.17,195.17,195.17,195.17,195.17,1704802416000,1,45,2024-01-09 06:13:36,195.53727706832166
100,195.39,195.39,195.39,195.39,195.39,1704802425000,1,46,2024-01-09 06:13:45,195.53650650865902
102,195.39,195.39,195.39,195.39,195.39,1704802554000,2,47,2024-01-09 06:15:54,195.5357288004163
460,195.3986,195.4,195.4,195.4,195.4,1704803416000,8,48,2024-01-09 06:30:16,195.53252273951713
978,195.2894,195.28,195.28,195.28,195.28,1704803428000,23,49,2024-01-09 06:30:28,195.52100993076064
