Trade Date,Value
2022-06-30,2781.0
2022-07-07,-190259.0
2022-08-26,-633414.0
2022-09-09,-430137.0
2022-12-09,-290170.0
2022-12-13,-30351310.0
2023-03-03,-1549842.0
2023-03-08,-8164278.0
2023-03-09,-240487.0
2023-03-15,-7992413.0
2023-03-22,-8230746.0
2023-03-29,-8288287.0
2023-04-03,-1527900.0
2023-04-06,-144590.0
2023-04-10,-944754.0
2023-05-03,-1440700.0
2023-05-04,-988650.0
2023-05-08,-160270.0
2023-05-10,-2185707.0
2023-05-18,-2372760.0
2023-05-31,-37246848.0
2023-06-09,-650175.0
2023-06-12,-2242917.0
2023-06-14,-1445475.0
2023-06-21,-3684322.0
2023-06-29,-124934796.0
2023-07-05,-1528314.0
2023-07-06,-188807.0
2023-07-07,-372058.0
2023-07-10,-2195198.0
2023-07-12,-70046.0
2023-07-13,-2900749.0
2023-07-14,-277410.0
2023-07-19,-3925079.0
2023-08-02,-1403065.0
2023-08-10,-2048615.0
2023-08-14,-227310.0
2023-08-16,-1172309.0
2023-08-17,-4514.0
2023-08-21,-79624.0
2023-08-30,-1287637.0
2023-09-11,-2743283.0
2023-09-13,-1378001.0
2023-09-14,-249000.0
2023-09-27,-1243089.0
2023-10-10,-2148666.0
2023-10-11,-1364095.0
2023-10-16,-236850.0
2023-10-25,-627556.0
2023-11-03,-604186.0
2023-11-08,-1315005.0
2023-11-10,-2036487.0
2023-11-14,-247125.0
2023-11-22,-1412954.0
2023-11-29,-19788608.0
2023-11-30,-2478216.0
2023-12-11,-601647.0
2023-12-14,-23366767.0
2023-12-26,-98645995.0
2023-12-28,-55215839.0
2024-01-10,-961120.0
2024-01-16,-285000.0
2024-01-22,-1606259.0
2024-01-24,-2100000.0
2024-02-01,-2560320.0
2024-02-05,-2200000.0
2024-02-08,-19378740.0
2024-02-09,-52074044.0
2024-02-14,-345000.0
2024-03-06,501314.0
2024-03-11,-543783.0
2024-03-14,-242910.0
2024-03-18,-6650215.0
2024-03-19,-309793.0
2024-03-25,5000038.0
2024-04-15,-234570.0
2024-05-01,-2001148.0
2024-05-14,-241725.0
2024-05-24,-1029340.0
2024-06-04,-2057100.0
