Date,Negative_Count,Neutral_Count,Positive_Count,Total_Count
2024-03-03,-1,0,0,-1
2024-03-04,-4,0,0,-4
2024-03-05,-1,1,1,0
2024-03-06,-1,1,1,0
2024-03-10,0,0,1,1
2024-03-11,0,1,0,0
2024-03-13,0,2,0,0
2024-03-15,-1,0,0,-1
2024-03-18,0,0,1,1
2024-03-21,0,0,1,1
2024-03-25,0,2,0,0
2024-03-26,-1,0,0,-1
2024-03-27,0,1,1,1
2024-03-28,-1,1,1,0
2024-04-01,-1,0,0,-1
2024-04-02,0,1,0,0
2024-04-03,0,0,1,1
2024-04-04,-1,0,0,-1
2024-04-06,0,1,0,0
2024-04-07,-1,0,0,-1
2024-04-08,-2,0,0,-2
2024-04-10,-1,0,1,0
2024-04-12,-1,0,0,-1
2024-04-15,0,0,2,2
2024-04-16,-1,0,1,0
2024-04-22,0,0,1,1
2024-04-24,0,3,0,0
2024-04-25,0,1,0,0
2024-04-26,0,0,1,1
2024-04-29,-1,1,0,-1
2024-05-02,0,0,1,1
2024-05-04,-1,0,0,-1
2024-05-07,0,0,1,1
2024-05-08,0,1,1,1
2024-05-13,0,1,0,0
2024-05-14,0,0,1,1
2024-05-15,-1,0,0,-1
2024-05-16,0,1,0,0
2024-05-17,0,0,1,1
2024-05-20,-1,0,2,1
2024-05-21,0,1,2,2
2024-05-22,-1,1,2,1
2024-05-23,0,1,1,1
2024-05-29,-1,1,0,-1
2024-05-30,0,0,2,2
2024-05-31,0,0,2,2
2024-06-02,0,0,1,1
2024-06-03,0,2,1,1
2024-06-04,-1,3,2,1
2024-06-05,0,1,0,0
2024-06-06,-2,0,0,-2
2024-06-07,-1,1,0,-1
2024-06-08,-2,0,0,-2
