Trade Date,Value
2022-05-27,-2527350.0
2022-06-01,-18933242.0
2022-06-06,-3225212.0
2022-06-27,-2618385.0
2022-07-27,-2770250.0
2022-07-29,-23026150.0
2022-08-29,-2971500.0
2022-09-06,-3395354.0
2022-09-08,-7321913.0
2022-09-12,-1127213.0
2022-09-27,-2982105.0
2022-10-04,-939375.0
2022-10-27,-2414475.0
2022-11-04,-2013593268.0
2022-11-07,-1093165509.0
2022-11-08,-843163160.0
2022-11-28,-1885485.0
2022-12-05,-2061094.0
2022-12-06,-904611.0
2022-12-12,-2147483647.0
2022-12-27,-1233750.0
2023-01-04,-410158.0
2023-01-27,-1706250.0
2023-02-06,-723750.0
2023-02-27,-2121000.0
2023-03-06,-2793725.0
2023-03-27,-2040780.0
2023-04-03,-19573464.0
2023-04-04,-739913.0
2023-04-27,-1600620.0
2023-05-04,-610247.0
2023-05-30,-2100000.0
2023-06-05,-2411797.0
2023-06-06,-1136428.0
2023-06-09,-3000444.0
2023-06-14,-650000.0
2023-06-27,-2552865.0
2023-07-03,-690875.0
2023-07-05,-1045125.0
2023-07-07,-1113440.0
2023-07-27,-2816415.0
2023-08-01,-665850.0
2023-08-04,-2022750.0
2023-08-28,-2546565.0
2023-09-01,-643075.0
2023-09-05,-1044193.0
2023-09-06,-594708.0
2023-09-27,-2565360.0
2023-10-06,-1015920.0
2023-10-27,-2212035.0
2023-11-29,-1000000.0
2023-12-06,-615988.0
2023-12-14,-1000000.0
2024-02-21,-18247018.0
2024-02-29,-2143785.0
2024-03-06,-121716.0
2024-03-12,-16439650.0
2024-04-01,-1850100.0
2024-05-06,-17322282.0
