Trade Date,Value
2018-08-17,-95326.0
2018-11-16,84096.0
2022-05-31,-1893420.0
2022-06-30,-1758330.0
2022-07-29,-1908990.0
2022-08-31,-1809000.0
2022-09-29,-1080000.0
2022-11-30,-221696.0
2022-12-01,-8777409.0
2022-12-02,-5552559.0
2023-01-09,-3635276.0
2023-02-03,-14190997.0
2023-02-24,-2933286.0
2023-03-06,-12991281.0
2023-04-27,-16828717.0
2023-04-28,-300066.0
2023-05-01,-14338231.0
2023-07-05,-6318000.0
2023-07-11,-5554742.0
2023-08-01,-1956000.0
2023-09-01,-2016881.0
2023-09-13,-3950084.0
2023-10-16,-1956000.0
2023-11-01,-9445600.0
2023-11-02,-1956000.0
2023-11-17,-2300051.0
2023-11-22,-1977511.0
2023-12-01,-2084689.0
2023-12-04,-7099282.0
2023-12-13,-6500980.0
2024-01-02,-2115822.0
2024-01-19,-9874733.0
2024-02-01,-2228129.0
2024-02-07,-729282.0
2024-03-01,-2308080.0
2024-04-01,-2298952.0
2024-04-26,-250472.0
2024-05-15,-7009955.0
