Date,Negative_Count,Neutral_Count,Positive_Count,Total_Count
2024-03-29,0,0,1,1
2024-04-03,0,0,1,1
2024-04-04,0,1,0,0
2024-04-08,0,1,0,0
2024-04-17,0,0,1,1
2024-04-22,0,1,1,1
2024-04-23,0,1,5,5
2024-04-24,-1,2,5,4
2024-04-25,0,1,2,2
2024-04-27,0,0,1,1
2024-04-29,0,1,1,1
2024-04-30,-1,0,0,-1
2024-05-01,0,0,1,1
2024-05-02,0,1,0,0
2024-05-03,0,0,1,1
2024-05-06,0,2,1,1
2024-05-07,0,2,2,2
2024-05-08,0,1,0,0
2024-05-09,0,0,1,1
2024-05-10,-1,0,1,0
2024-05-11,0,1,1,1
2024-05-13,-1,2,1,0
2024-05-14,-1,0,0,-1
2024-05-15,0,1,0,0
2024-05-16,0,1,1,1
2024-05-20,-1,0,0,-1
2024-05-21,-1,0,0,-1
2024-05-22,0,0,2,2
