seconds,underlying,volume
0,194.6,1
1,194.6,1
2,194.6,1
3,194.5885,1
4,194.6,1
5,194.6,1
6,194.6,1
7,194.5781,1
8,194.5781,1
9,194.57,2
10,194.56,1
11,194.56,1
12,194.5781,7
13,194.565,1
14,194.58,1
15,194.58,1
16,194.573,1
17,194.59,1
18,194.59,1
19,194.585,1
20,194.5799,4
21,194.575,1
22,194.575,1
23,194.565,3
24,194.56,2
25,194.57,1
26,194.57,1
27,194.58,5
28,194.525,3
29,194.545,2
30,194.54,1
31,194.54,1
32,194.525,1
33,194.5211,3
34,194.56,1
35,194.57,3
36,194.555,1
37,194.56,1
38,194.56,3
39,194.5501,2
40,194.55,2
41,194.5316,2
42,194.51,1
43,194.48,1
44,194.48,1
45,194.495,1
46,194.5,2
47,194.52,1
48,194.51,1
49,194.49,1
50,194.5,1
51,194.5,1
52,194.5001,2
53,194.5,1
54,194.51,3
55,194.5199,2
56,194.5199,2
57,194.5289,1
58,194.5489,1
59,194.542,1
60,194.55,1
61,194.55,1
62,194.56,1
63,194.585,1
64,194.58,1
65,194.57,4
66,194.5514,6
67,194.57,1
68,194.59,2
69,194.59,1
70,194.6,1
71,194.6,1
72,194.62,3
73,194.625,1
74,194.6214,5
75,194.625,1
76,194.62,1
77,194.625,3
78,194.62,2
79,194.62,2
80,194.6399,2
81,194.6399,2
82,194.64,1
83,194.64,1
84,194.63,1
85,194.65,2
86,194.65,1
87,194.6309,3
88,194.6299,1
89,194.63,1
90,194.6243,1
91,194.62,1
92,194.61,1
93,194.615,1
94,194.6271,2
95,194.6271,2
96,194.62,1
97,194.61,1
98,194.62,1
99,194.625,11
100,194.62,1
101,194.62,1
102,194.61,1
103,194.604,1
104,194.604,1
105,194.61,2
106,194.61,2
107,194.59,1
108,194.595,1
109,194.6,1
110,194.595,2
111,194.595,2
112,194.59,1
113,194.5701,3
114,194.575,1
115,194.575,1
116,194.574,5
117,194.57,1
118,194.5601,3
119,194.6099,3
120,194.61,1
121,194.605,1
122,194.6223,1
123,194.62,1
124,194.63,1
125,194.6299,1
126,194.6296,15
127,194.61,3
128,194.6187,2
129,194.6187,2
130,194.6187,2
131,194.62,1
132,194.62,1
133,194.6403,4
134,194.65,5
135,194.65,5
136,194.64,1
137,194.625,1
138,194.64,1
139,194.6195,1
140,194.615,1
141,194.615,1
142,194.59,1
143,194.59,1
144,194.59,1
145,194.56,1
146,194.56,1
147,194.5566,1
148,194.559,3
149,194.555,2
150,194.55,2
151,194.55,2
152,194.541,1
153,194.54,1
154,194.55,49
155,194.52,1
156,194.53,10
157,194.525,2
158,194.545,22
159,194.545,22
160,194.53,2
161,194.53,2
162,194.52,1
163,194.5123,1
164,194.5109,1
165,194.5391,4
166,194.53,1
167,194.54,1
168,194.53,6
169,194.53,1
170,194.53,5
171,194.53,1
172,194.54,1
173,194.5303,1
174,194.55,1
175,194.5599,5
176,194.57,2
177,194.58,10
178,194.58,15
179,194.5887,1
180,194.5981,1
181,194.589,1
182,194.589,1
183,194.6,1
184,194.6,1
185,194.6,1
186,194.59,20
187,194.585,1
188,194.59,1
189,194.58,1
190,194.59,1
191,194.59,1
192,194.59,1
193,194.55,5
194,194.55,5
195,194.555,4
196,194.55,2
197,194.55,2
198,194.54,1
199,194.53,1
200,194.53,1
201,194.5148,2
202,194.52,1
203,194.5,1
204,194.5,1
205,194.5,1
206,194.52,2
207,194.5,1
208,194.5101,5
209,194.505,1
210,194.51,1
211,194.5,1
212,194.5,1
213,194.505,1
214,194.505,2
215,194.5527,4
216,194.5485,2
217,194.53,7
218,194.51,1
219,194.51,1
220,194.51,1
221,194.5,1
222,194.5,3
223,194.5,1
224,194.51,1
225,194.52,1
226,194.5301,91
227,194.5096,5
228,194.5,1
229,194.49,1
230,194.45,1
231,194.455,3
232,194.455,1
233,194.4624,5
234,194.46,2
235,194.46,4
236,194.4502,4
237,194.455,5
238,194.4675,5
239,194.4675,5
240,194.46,1
241,194.4599,5
242,194.45,1
243,194.459,1
244,194.45,2
245,194.44,1
246,194.46,1
247,194.48,5
248,194.47,1
249,194.48,1
250,194.47,1
251,194.45,1
252,194.42,1
253,194.4201,2
254,194.42,1
255,194.44,1
256,194.46,13
257,194.47,1
258,194.475,2
259,194.505,1
260,194.5,10
261,194.475,5
262,194.47,1
263,194.47,1
264,194.47,1
265,194.47,1
266,194.47,1
267,194.47,1
268,194.47,1
269,194.46,1
270,194.471,2
271,194.47,1
272,194.465,1
273,194.48,2
274,194.47,1
275,194.47,1
276,194.47,1
277,194.47,1
278,194.47,1
279,194.4871,1
280,194.5,1
281,194.52,2
282,194.49,1
283,194.5,1
284,194.5,1
285,194.51,1
286,194.49,1
287,194.49,2
288,194.495,1
289,194.495,1
290,194.4998,28
291,194.51,1
292,194.5148,5
293,194.5148,5
294,194.515,1
295,194.5195,1
296,194.52,1
297,194.52,1
298,194.514,3
299,194.5114,8
300,194.52,1
301,194.52,1
302,194.5205,1
303,194.53,1
304,194.53,1
305,194.5,1
306,194.49,1
307,194.491,4
308,194.4991,8
309,194.5,1
310,194.4955,1
311,194.49,1
312,194.51,1
313,194.5181,2
314,194.5181,2
315,194.5181,2
316,194.5296,2
317,194.52,1
318,194.52,1
319,194.515,60
320,194.53,1
321,194.5117,1
322,194.513,1
323,194.52,1
324,194.5187,1
325,194.515,2
326,194.52,1
327,194.52,1
328,194.5189,1
329,194.53,1
330,194.54,1
331,194.54,1
332,194.55,1
333,194.53,1
334,194.54,5
335,194.5331,1
336,194.53,1
337,194.54,1
338,194.54,1
339,194.52,10
340,194.53,1
341,194.51,1
342,194.51,3
343,194.52,5
344,194.52,2
345,194.52,2
346,194.51,1
347,194.47,1
348,194.47,1
349,194.45,10
350,194.405,1
351,194.37,1
352,194.38,8
353,194.41,2
354,194.4,1
355,194.4,5
356,194.3984,1
357,194.405,1
358,194.41,1
359,194.43,16
360,194.43,16
361,194.42,1
362,194.432,2
363,194.46,1
364,194.45,1
365,194.45,1
366,194.45,1
367,194.45,1
368,194.4499,1
369,194.435,1
370,194.42,1
371,194.43,1
372,194.425,1
373,194.435,1
374,194.46,1
375,194.45,1
376,194.45,1
377,194.455,2
378,194.45,1
379,194.4799,1
380,194.4799,1
381,194.4702,1
382,194.4432,2
383,194.41,1
384,194.41,2
385,194.41,1
386,194.39,2
387,194.4003,4
388,194.4,1
389,194.4,3
390,194.3899,1
391,194.37,1
392,194.37,1
393,194.41,1
394,194.3803,1
395,194.38,2
396,194.38,2
397,194.41,1
398,194.42,1
399,194.39,1
400,194.4,1
401,194.4094,10
402,194.4,1
403,194.425,5
404,194.4393,1
405,194.425,3
406,194.425,1
407,194.41,1
408,194.4152,2
409,194.42,1
410,194.4042,2
411,194.41,1
412,194.41,1
413,194.41,1
414,194.4177,15
415,194.41,5
416,194.42,1
417,194.43,5
418,194.46,1
419,194.4399,5
420,194.43,2
421,194.44,4
422,194.41,1
423,194.41,1
424,194.395,1
425,194.39,1
426,194.39,1
427,194.38,1
428,194.38,1
429,194.3902,4
430,194.36,1
431,194.325,1
432,194.3289,9
