date,underlying,volume,open,high,low
07-26 11:54:22:198647,194.34,1,193.67,194.94,193.32
07-26 11:54:23:164711,194.34,1,193.67,194.94,193.32
07-26 11:54:24:180232,194.34,1,193.67,194.94,193.32
07-26 11:54:25:210360,194.34,1,193.67,194.94,193.32
07-26 11:54:26:178360,194.34,5,193.67,194.94,193.32
07-26 11:54:27:226522,194.34,1,193.67,194.94,193.32
07-26 11:54:28:225190,194.34,1,193.67,194.94,193.32
07-26 11:54:29:196560,194.34,1,193.67,194.94,193.32
07-26 11:54:30:201945,194.32,1,193.67,194.94,193.32
07-26 11:54:31:205968,194.3198,1,193.67,194.94,193.32
07-26 11:54:32:250638,194.3198,1,193.67,194.94,193.32
07-26 11:54:33:253560,194.29,1,193.67,194.94,193.32
07-26 11:54:34:263088,194.28,1,193.67,194.94,193.32
07-26 11:54:35:228691,194.28,3,193.67,194.94,193.32
07-26 11:54:36:257453,194.26,1,193.67,194.94,193.32
07-26 11:54:37:271085,194.265,10,193.67,194.94,193.32
07-26 11:54:38:569329,194.25,1,193.67,194.94,193.32
07-26 11:54:39:231498,194.249,1,193.67,194.94,193.32
07-26 11:54:40:318110,194.2445,3,193.67,194.94,193.32
07-26 11:54:41:257899,194.245,1,193.67,194.94,193.32
07-26 11:54:42:324634,194.2442,1,193.67,194.94,193.32
07-26 11:54:43:265607,194.245,3,193.67,194.94,193.32
07-26 11:54:44:262005,194.23,1,193.67,194.94,193.32
07-26 11:54:45:318425,194.23,1,193.67,194.94,193.32
07-26 11:54:46:342779,194.23,1,193.67,194.94,193.32
07-26 11:54:47:300121,194.23,1,193.67,194.94,193.32
07-26 11:54:48:328429,194.2364,3,193.67,194.94,193.32
07-26 11:54:49:361870,194.2364,3,193.67,194.94,193.32
07-26 11:54:50:294353,194.22,1,193.67,194.94,193.32
07-26 11:54:51:309384,194.225,2,193.67,194.94,193.32
07-26 11:54:52:304887,194.225,2,193.67,194.94,193.32
07-26 11:54:53:312858,194.225,1,193.67,194.94,193.32
07-26 11:54:54:307930,194.2189,7,193.67,194.94,193.32
07-26 11:54:55:316013,194.2189,7,193.67,194.94,193.32
07-26 11:54:56:331917,194.22,1,193.67,194.94,193.32
07-26 11:54:57:333629,194.22,1,193.67,194.94,193.32
07-26 11:54:58:345296,194.22,1,193.67,194.94,193.32
07-26 11:54:59:375650,194.215,1,193.67,194.94,193.32
07-26 11:55:00:393970,194.215,1,193.67,194.94,193.32
07-26 11:55:01:405486,194.215,1,193.67,194.94,193.32
07-26 11:55:02:363915,194.185,1,193.67,194.94,193.32
07-26 11:55:03:416798,194.1903,1,193.67,194.94,193.32
07-26 11:55:04:428135,194.1903,1,193.67,194.94,193.32
07-26 11:55:05:393253,194.2034,1,193.67,194.94,193.32
07-26 11:55:06:401576,194.2063,5,193.67,194.94,193.32
07-26 11:55:07:438084,194.205,2,193.67,194.94,193.32
07-26 11:55:08:403740,194.2,1,193.67,194.94,193.32
07-26 11:55:09:420285,194.2007,2,193.67,194.94,193.32
07-26 11:55:11:226570,194.2,1,193.67,194.94,193.32
07-26 11:55:11:421410,194.2028,1,193.67,194.94,193.32
07-26 11:55:12:428102,194.205,1,193.67,194.94,193.32
07-26 11:55:13:469393,194.205,1,193.67,194.94,193.32
07-26 11:55:14:476870,194.2,1,193.67,194.94,193.32
